Center,Hour,Date,Forecast,Lower_CI,Upper_CI
SC15,0,2023-11-20,305.49750705727973,116.19427064238084,494.8007434721786
SC15,0,2023-11-21,305.49750705727973,115.39069817700818,495.6043159375513
SC15,0,2023-11-22,305.49750705727973,114.59050810720171,496.4045060073578
SC15,0,2023-11-23,305.49750705727973,113.79365807763591,497.2013560369236
SC15,0,2023-11-24,305.49750705727973,113.00010660965009,497.9949075049094
SC15,0,2023-11-25,305.49750705727973,112.20981307605373,498.78520103850576
SC15,0,2023-11-26,305.49750705727973,111.42273767685495,499.57227643770455
SC15,0,2023-11-27,305.49750705727973,110.6388414158717,500.35617269868777
SC15,0,2023-11-28,305.49750705727973,109.858086078186,501.13692803637343
SC15,0,2023-11-29,305.49750705727973,109.08043420840528,501.9145799061542
SC15,0,2023-11-30,305.49750705727973,108.30584908969473,502.68916502486474
SC15,0,2023-12-01,305.49750705727973,107.5342947235483,503.46071939101114
SC15,0,2023-12-02,305.49750705727973,106.76573581026693,504.2292783042925
SC15,0,2023-12-03,305.49750705727973,106.00013773011287,504.99487638444657
SC15,0,2023-12-04,305.49750705727973,105.23746652511312,505.75754758944635
SC15,0,2023-12-05,305.49750705727973,104.47768888148391,506.51732523307555
SC15,0,2023-12-06,305.49750705727973,103.72077211265088,507.2742420019086
SC15,0,2023-12-07,305.49750705727973,102.96668414284036,508.02832997171913
SC15,0,2023-12-08,305.49750705727973,102.21539349121858,508.77962062334086
SC15,0,2023-12-09,305.49750705727973,101.46686925655632,509.52814485800315
SC15,0,2023-12-10,305.49750705727973,100.72108110239844,510.273933012161
SC15,0,2023-12-11,305.49750705727973,99.97799924271735,511.0170148718421
SC15,0,2023-12-12,305.49750705727973,99.23759442803188,511.75741968652756
SC15,0,2023-12-13,305.49750705727973,98.49983793197302,512.4951761825864
SC15,0,2023-12-14,305.49750705727973,97.76470153827907,513.2303125762804
SC15,0,2023-12-15,305.49750705727973,97.03215752820347,513.962856586356
SC15,0,2023-12-16,305.49750705727973,96.30217866831944,514.69283544624
