Center,Hour,Date,Forecast,Lower_CI,Upper_CI
SC54,0,2023-11-20,122.21902322689274,-216.5496468289917,460.9876932827772
SC54,0,2023-11-21,153.71319975640668,-280.76501847765485,588.1914179904683
SC54,0,2023-11-22,179.00406815804615,-307.30418323794396,665.3123195540363
SC54,0,2023-11-23,199.3134743719104,-317.6694808730724,716.2964296168932
SC54,0,2023-11-24,215.62260121600912,-320.21080427289985,751.4560067049181
SC54,0,2023-11-25,228.7193710386209,-318.92596613834144,776.3647082155833
SC54,0,2023-11-26,239.2365116204626,-315.89261550332844,794.3656387442536
SC54,0,2023-11-27,247.68212435676128,-312.2199675724065,807.5842162859291
SC54,0,2023-11-28,254.46423152139133,-308.49430392175896,817.4227669645416
SC54,0,2023-11-29,259.9104885341992,-305.01026183882743,824.8312389072258
SC54,0,2023-11-30,264.28401356551257,-301.89848855219583,830.4665156832209
SC54,0,2023-12-01,267.7960992336223,-299.19856984267267,834.7907683099172
SC54,0,2023-12-02,270.6164205195021,-296.90136796548444,838.1342090044886
SC54,0,2023-12-03,272.8812320609211,-294.9736408119164,840.7361049337586
SC54,0,2023-12-04,274.69995085151606,-293.3721889436889,842.772090646721
SC54,0,2023-12-05,276.16044236649253,-292.0517606099133,844.3726453428983
SC54,0,2023-12-06,277.333265496901,-290.96924063293153,845.6357716267335
SC54,0,2023-12-07,278.27508137266335,-290.08565024444334,846.6358129897701
SC54,0,2023-12-08,279.0313907605326,-289.3668851132558,847.4296666343209
SC54,0,2023-12-09,279.63873228545225,-288.7837531478082,848.0612177187127
SC54,0,2023-12-10,280.1264476752228,-288.3116490427133,848.5645443931589
SC54,0,2023-12-11,280.5180993105206,-287.930064308531,848.9662629295722
SC54,0,2023-12-12,280.83260856458287,-287.6220467246384,849.2872638538041
SC54,0,2023-12-13,281.0851699277331,-287.37367155534207,849.5440114108083
SC54,0,2023-12-14,281.28798507969566,-287.17355590550744,849.7495260648988
SC54,0,2023-12-15,281.45085237401395,-287.01242941146427,849.9141341594922
SC54,0,2023-12-16,281.58164021359045,-286.88276414548005,850.046044572661
SC54,0,2023-12-17,281.6866671869474,-286.7784610763041,850.1517954501988
SC54,0,2023-12-18,281.771007330253,-286.694587751004,850.2366024115099
SC54,0,2023-12-19,281.8387352628541,-286.6271608515189,850.304631377227
SC54,1,2023-11-12,260.2999966109495,-343.37926249334964,863.9792557152487
SC54,1,2023-11-13,260.2999966109495,-343.37926249334964,863.9792557152487
SC54,1,2023-11-14,260.2999966109495,-343.37926249334964,863.9792557152487
SC54,1,2023-11-15,260.2999966109495,-343.37926249334964,863.9792557152487
SC54,1,2023-11-16,260.2999966109495,-343.37926249334964,863.9792557152487
SC54,1,2023-11-17,260.2999966109495,-343.37926249334964,863.9792557152487
SC54,1,2023-11-18,260.2999966109495,-343.37926249334964,863.9792557152487
